,DEPARTURES_PERFORMED,PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,AIRCRAFT_TYPE,MONTH
16730,4,493,4740,SK,Scandinavian Airlines Sys.,SK,Scandinavian Airlines Sys.,13303,MIA,13952,OSL,696,1
16737,4,183,1432,WO,SWOOP Inc.,WO,SWOOP Inc.,14679,SAN,16042,YEG,614,1
16746,4,407,2332,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,12990,LIR,11292,DEN,612,1
16763,4,207,3162,FJ,Air Pacific Ltd.,FJ,Air Pacific Ltd.,12173,HNL,13602,NAN,614,1
16812,4,249,6552,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,13694,NGO,11433,DTW,359,2
16818,4,419,1336,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,13180,MBJ,12191,HOU,612,2
16822,4,507,2332,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,11292,DEN,12990,LIR,612,2
16866,4,381,1832,AF,Compagnie Natl Air France,AF,Compagnie Natl Air France,12478,JFK,14278,PTP,694,2
16886,4,21,183,2LQ,Tropic Ocean Airways LLC,2LQ,Tropic Ocean Airways LLC,16845,BS3,14027,PBI,416,2
16889,4,21,146,2LQ,Tropic Ocean Airways LLC,2LQ,Tropic Ocean Airways LLC,11697,FLL,11911,GHC,416,2
16891,4,5,175,2LQ,Tropic Ocean Airways LLC,2LQ,Tropic Ocean Airways LLC,11697,FLL,10371,ASD,416,2
16911,4,655,1695,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,14832,SJD,10397,ATL,888,3
16929,4,601,2287,UA,United Air Lines Inc.,UA,United Air Lines Inc.,14312,PVR,11618,EWR,614,3
16940,4,417,2094,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10575,BGI,12264,IAD,614,3
16942,4,553,2946,UA,United Air Lines Inc.,UA,United Air Lines Inc.,12990,LIR,14771,SFO,614,3
16943,4,451,2203,UA,United Air Lines Inc.,UA,United Air Lines Inc.,13930,ORD,15084,SXM,612,3
16950,4,417,2203,UA,United Air Lines Inc.,UA,United Air Lines Inc.,15084,SXM,13930,ORD,612,3
16969,4,469,2280,UA,United Air Lines Inc.,UA,United Air Lines Inc.,13162,MAJ,12173,HNL,614,3
16970,4,73,2280,UA,United Air Lines Inc.,UA,United Air Lines Inc.,12173,HNL,13162,MAJ,614,3
16974,4,755,3986,UA,United Air Lines Inc.,UA,United Air Lines Inc.,11618,EWR,10549,BER,626,3
16976,4,485,3340,UA,United Air Lines Inc.,UA,United Air Lines Inc.,11618,EWR,13900,OPO,622,3
16979,4,911,4505,UA,United Air Lines Inc.,UA,United Air Lines Inc.,12264,IAD,11651,FCO,627,3
16982,4,869,7707,UA,United Air Lines Inc.,UA,United Air Lines Inc.,11290,DEL,14771,SFO,889,3
16989,4,423,1432,WO,SWOOP Inc.,WO,SWOOP Inc.,16042,YEG,14679,SAN,614,3
17002,4,195,2970,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",12478,JFK,12051,GYE,626,3
17049,4,9,148,2LQ,Tropic Ocean Airways LLC,2LQ,Tropic Ocean Airways LLC,11697,FLL,10916,CCZ,416,3
17052,4,571,1667,G4,Allegiant Air,G4,Allegiant Air,14293,PUJ,14122,PIT,698,3
17067,4,643,2006,SY,Sun Country Airlines d/b/a MN Airlines,SY,Sun Country Airlines d/b/a MN Airlines,14637,RTB,13487,MSP,614,3
17074,4,205,633,UA,United Air Lines Inc.,UA,United Air Lines Inc.,12016,GUM,15237,TKK,614,4
17097,4,473,235,AA,American Airlines Inc.,AA,American Airlines Inc.,12073,HAV,13303,MIA,698,4
17125,4,213,766,MQ,Envoy Air,MQ,Envoy Air,13303,MIA,14637,RTB,673,4
17128,4,299,556,MQ,Envoy Air,MQ,Envoy Air,11244,CZM,13303,MIA,673,4
17129,4,283,682,MQ,Envoy Air,MQ,Envoy Air,13306,MID,13303,MIA,673,4
17131,4,283,766,MQ,Envoy Air,MQ,Envoy Air,14637,RTB,13303,MIA,673,4
17164,4,635,1557,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10397,ATL,14312,PVR,888,5
17165,4,599,1715,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10397,ATL,10411,AUA,888,5
17181,4,589,4015,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,13487,MSP,12972,LHR,696,5
17208,4,441,1384,WO,SWOOP Inc.,WO,SWOOP Inc.,16042,YEG,10466,AZA,614,5
17231,4,323,2460,AC,Air Canada,AC,Air Canada,16217,YUL,14679,SAN,724,5
17251,4,945,4965,AA,American Airlines Inc.,AA,American Airlines Inc.,11298,DFW,13156,MAD,627,5
17252,4,879,4424,AA,American Airlines Inc.,AA,American Airlines Inc.,13303,MIA,13156,MAD,887,5
17271,4,475,1934,AA,American Airlines Inc.,AA,American Airlines Inc.,11057,CLT,15513,UVF,698,5
17278,4,521,1918,AA,American Airlines Inc.,AA,American Airlines Inc.,11057,CLT,14832,SJD,694,5
17319,4,45,3067,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",12694,KIR,15167,TEB,641,5
17328,4,91,1702,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14012,PAP,12206,HRL,619,5
17370,4,471,1293,Y4,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),Y4,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),10210,AGU,12892,LAX,694,1
17386,4,373,1627,B6,JetBlue Airways,B6,JetBlue Airways,14210,POS,11697,FLL,694,1
17420,4,625,6055,RJ,Alia-(The) Royal Jordanian,RJ,Alia-(The) Royal Jordanian,11433,DTW,10287,AMM,887,1
17421,4,887,6055,RJ,Alia-(The) Royal Jordanian,RJ,Alia-(The) Royal Jordanian,10287,AMM,11433,DTW,887,1
17422,4,263,4117,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,12173,HNL,12699,KIX,696,1
17450,4,225,2705,WS,Westjet,WS,Westjet,12173,HNL,16229,YVR,838,1
17468,4,9,175,2LQ,Tropic Ocean Airways LLC,2LQ,Tropic Ocean Airways LLC,10371,ASD,11697,FLL,416,1
17488,4,557,1350,07Q,Flair Airlines Ltd.,07Q,Flair Airlines Ltd.,16149,YOW,11697,FLL,838,1
17520,4,565,1874,AS,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,16304,ZIH,14771,SFO,694,2
17533,4,531,2946,UA,United Air Lines Inc.,UA,United Air Lines Inc.,14771,SFO,12990,LIR,614,2
17552,4,381,2127,UA,United Air Lines Inc.,UA,United Air Lines Inc.,12266,IAH,10717,BON,888,2
17566,4,393,1877,UA,United Air Lines Inc.,UA,United Air Lines Inc.,11292,DEN,13605,NAS,694,2
17598,5,563,982,AA,American Airlines Inc.,AA,American Airlines Inc.,14312,PVR,11298,DFW,614,2
17607,5,1,6274,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,13930,ORD,13744,NRT,819,2
17648,5,773,3341,VS,Virgin Atlantic Airways,VS,Virgin Atlantic Airways,13165,MAN,12478,JFK,836,1
17705,5,1,5504,5Y,Atlas Air Inc.,5Y,Atlas Air Inc.,12173,HNL,13243,MEL,821,3
17719,5,689,1877,UA,United Air Lines Inc.,UA,United Air Lines Inc.,13605,NAS,11292,DEN,614,4
17836,5,789,4231,BY,Britannia Airways Ltd.,BY,Britannia Airways Ltd.,13360,MLB,13628,NCL,887,5
17894,5,973,4768,JL,Japan Air Lines Co. Ltd.,JL,Japan Air Lines Co. Ltd.,14747,SEA,13744,NRT,889,5
17899,5,397,1982,KX,Cayman Airways Limited,KX,Cayman Airways Limited,11868,GCM,11292,DEN,614,4
17900,5,343,1982,KX,Cayman Airways Limited,KX,Cayman Airways Limited,11292,DEN,11868,GCM,614,4
17905,5,395,1163,07Q,Flair Airlines Ltd.,07Q,Flair Airlines Ltd.,14771,SFO,16042,YEG,838,4
17916,5,255,635,UA,United Air Lines Inc.,UA,United Air Lines Inc.,12266,IAH,14879,SLP,614,1
18000,5,597,1719,AA,American Airlines Inc.,AA,American Airlines Inc.,11057,CLT,12990,LIR,694,1
