DEPARTURES_PERFORMED,PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,AIRCRAFT_TYPE,MONTH
7,1845,4424,IB,Iberia Air Lines Of Spain,IB,Iberia Air Lines Of Spain,13303,MIA,13156,MAD,359,3
7,1636,4424,IB,Iberia Air Lines Of Spain,IB,Iberia Air Lines Of Spain,13156,MAD,13303,MIA,359,3
7,457,1969,PY,Surinam Airways Limited,PY,Surinam Airways Limited,13303,MIA,11888,GEO,619,3
7,894,1969,PY,Surinam Airways Limited,PY,Surinam Airways Limited,11888,GEO,13303,MIA,619,3
7,1583,4425,VS,Virgin Atlantic Airways,VS,Virgin Atlantic Airways,13303,MIA,12972,LHR,889,3
7,1684,4425,VS,Virgin Atlantic Airways,VS,Virgin Atlantic Airways,12972,LHR,13303,MIA,889,3
7,0,782,VS,Virgin Atlantic Airways,VS,Virgin Atlantic Airways,14843,SJU,13180,MBJ,889,3
7,0,782,VS,Virgin Atlantic Airways,VS,Virgin Atlantic Airways,13180,MBJ,14843,SJU,889,3
7,0,3452,VS,Virgin Atlantic Airways,VS,Virgin Atlantic Airways,12972,LHR,12478,JFK,836,3
7,985,4443,LX,Swiss International Airlines,LX,Swiss International Airlines,13930,ORD,16321,ZRH,696,3
7,1190,4443,LX,Swiss International Airlines,LX,Swiss International Airlines,16321,ZRH,13930,ORD,696,3
7,343,687,PD,"Porter Airlines, Inc.",PD,"Porter Airlines, Inc.",16215,YTZ,13577,MYR,482,3
7,229,687,PD,"Porter Airlines, Inc.",PD,"Porter Airlines, Inc.",13577,MYR,16215,YTZ,482,3
7,352,924,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12206,HRL,12010,GUA,619,3
7,0,3799,5X,United Parcel Service,5X,United Parcel Service,10299,ANC,12277,ICN,819,3
7,0,3799,5X,United Parcel Service,5X,United Parcel Service,12277,ICN,10299,ANC,819,3
7,0,4680,5X,United Parcel Service,5X,United Parcel Service,15306,TPE,10299,ANC,819,3
7,0,990,5X,United Parcel Service,5X,United Parcel Service,16232,YWG,14730,SDF,622,3
7,24,146,2LQ,Tropic Ocean Airways LLC,2LQ,Tropic Ocean Airways LLC,11911,GHC,11697,FLL,416,3
7,18,220,2LQ,Tropic Ocean Airways LLC,2LQ,Tropic Ocean Airways LLC,11697,FLL,11534,ELH,416,3
7,21,183,2LQ,Tropic Ocean Airways LLC,2LQ,Tropic Ocean Airways LLC,14027,PBI,16845,BS3,416,3
7,0,586,KLQ,Kalitta Charters II,KLQ,Kalitta Charters II,13303,MIA,12693,KIN,619,3
7,722,1832,AF,Compagnie Natl Air France,AF,Compagnie Natl Air France,12478,JFK,14278,PTP,694,4
7,817,1832,AF,Compagnie Natl Air France,AF,Compagnie Natl Air France,14278,PTP,12478,JFK,694,4
7,747,1232,VB,"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",VB,"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",12892,LAX,13514,MTY,694,4
